drugName,condition,review,rating,rating_category,review_length,positive_word_count,negative_word_count
Cymbalta,Depression,i have taken this medication before and ran out because i don't have insurance and had to go through one of the drug help agencies to get back on it i started back on the medicine 30 mg capsules and have had severe eye problems on the edge of my seat tremors ocd issues such as twisting my hair constantly walking the floor i can't sleep when i take this medication and the night sweats and low grade fever is miserable i have also had a constant headache while taking this medication along with a low grade fever i have no sex drive at all and i am in school and my mind goes blank i feel like my head is someti'mes floating above my body,2,negative,126,0,0
Prozac,Depression,i am a 38 year old female with terrible insomnia for years i finally sought help to figure out what was causing it since none of the medicines we're working for me any longer i was diagnosed with depression and prescribed 10 mg of prozac it has been of amazing help to me i now take 20 mg which is perfect i have suffered no side effects and am very sensitive to medicines the only thing i noticed was a very slight decrease in appetite prior to taking prozac i felt like i was in a fog i had no desire to do anything and that is hard with young kids i have decided to embrace the fact that i suffer from depression i was also prescribed 25 mg of seroquel for my insomnia life is better for me thanks to prozac insomnia still work in progress,9,positive,147,2,1
Dulaglutide,Type 2 Diabetes,type ii for about three years has been somewhat uncontrolled for two years on 2000 mg metformin and started trulicity two weeks ago both weeks on day after the shot i ve experiencing severe nausea and headache for about hours other side effects are mini'mal but annoying i'm opti'mistic that'side effects will go away over ti'me as they did with metformin the medication is working though my fasting am blood sugars have been in the 170-200 range and this morning it was 115,7,positive,83,0,0
Escitalopram,Depression,lexapro has been an absolute miracle for me i had become so depressed i could no longer get out of bed and was crying every day i hated the idea of getting on medicines but i felt at that point i had no choice the only regret i have now is that i didn't do it sooner i had some pretty bad fatigue on the medicine for the first month or two but that has now gone away i am so glad i finally did this,10,positive,86,0,1
L-Methylfolate,Depression,wow where to even start i ve been on several cocktails of antidepressants from ago 13-28 finally my doctor prescribed methylfolate in conjuction with celexa within 10 days i felt more alive motivated energetic and at peace then i had ever felt in my life absolutely a miracle if you have given up on the endless trial and error please please give this a chance,10,positive,65,0,0
Bystolic,High Blood Pressure,i took bystolic for about months but had to discontinue because of side effects one of the many side effects i suffered was severe anxiety i was only able to take mg and my blood pressure was not controlled,1,negative,39,0,0
Jardiance,Type 2 Diabetes,i have only been on jardiance 10 mg for / months but have watched by blood glucose levels slowly drop - have not yet had another a1c i normally drink a lot of water but have noticed a definite increase in frequency of urination as well as urgency this i can live with as i have failed other diabetic medications have not noticed much weight loss but i am only about 10 lbs overweight anyway keeping fingers crossed with this medication i am not taking any other diabetic medication and was able to control with diet and exercise for a number of years but this is a progressive disease no other side effects noted,8,positive,114,0,0
Canagliflozin,Type 2 Diabetes,started invokana 100 mg about a month ago only side effect is some yeast infection but not bad i had been on 100 units of levemir and 100 units novolog with blood sugars still in the 200-400 range at ti'mes and fasting blood sugars never below 200 range now my fasting blood sugars are 120-140 range and my insulin has been decreased to 50 units of levemir and 30 units of novolog so doctor has increased the invokana to 300 mg hoping to be off insulin soon oh and i have lost pounds in the process the key to this medication is to drink plenty of water to stay hydrated have your kidney functions checked at least twice a year and monitor for any side effects,9,positive,126,0,1
Olmesartan,High Blood Pressure,i have been on benicar for about a year now and i have to say it has helped my blood pressure blood pressure is 120-130 and over 70-75 average my pressure was not dangerously high but my doctor recommended i go on it since it is in my family history i am 40,8,positive,53,0,0
Exenatide,Type 2 Diabetes,i have been on byetta since august last year and except for some nausea and slight constipation have found it to be a miracle for me my sugar levels have i'mproved and also have halved my blood pressure medication also my eyesight has i'mproved greatly i have lost 30 kg and am feeling great thanks byetta,9,positive,56,1,0
Norvasc,High Blood Pressure,this blood pressure med makes me feel spacey like i'm not here makes my body weak where it feels like my own legs can't carry me i hate the way it makes me feel,1,negative,34,0,1
Canagliflozin,Type 2 Diabetes,my doctor put me on jardiance and i had an allergic reaction to it three weeks later i was put on invokana it worked really well for me but three weeks of taking it i had the same kind of reaction i did with the jardiance about a month later my hands and feet began peeling this happened twice i also noticed i have lot a lot of hair on my head in about three and a half weeks had i known this was a possible side effect i would not have tried either medication,9,positive,95,0,0
Bosentan,High Blood Pressure,i ve been taking tracleer for years and have had almost no side effects i have to have a liver function test blood draw every month and so far i ve had no problems i only experience shortness of breath or discomfort when i try to do too much for too long or too quickly i am able to do my gardening and housework without discomfort thank goodness for caring voice without them i could not afford the medication between medicare and caring voice i pay nothing for the over 7k/month cost,9,positive,92,0,0
Exenatide,Type 2 Diabetes,has anyone had hand and body tremors with bydureon my sugars are back in the normal range i ve lost 15 lbs in weeks i'm having tremors to the point where it s hard to hold a cup to my mouth to take a drink,10,positive,45,0,0
Vilazodone,Depression,my new doctor put me on viibryd to help with my severe depression and anxiety months ago my previous doctor had tried many medications such as lexapro celexa and cymbalta and to be quite frank every one of them was horrible i gained 60 lbs between them over a year which only deepened my depression i felt like i was insane with those medications and hated myself and everyone around me even more and began to feel like people we're out to get me all the while on those medications i had to take ativan and valium for my severe anxiety since i ve been on viibryd i feel like a new person i did not gain any weight and viibryd helps control my anxiety without the need for other medications it s expensive but worth every penny,10,positive,138,0,1
Abilify,Depression,abilify made me into a short term sex addict my life is ruined abilify is the devil there's no cure for a lost soul do i need to tell you not to take this drug witch doctors all of you and no good money hungry people i hope you burn too,1,negative,51,1,0
Losartan,High Blood Pressure,i take 25 mg of losartan for mildly elevated blood pressure i'm a 49 y/o male it s the best in terms of not having side effects as the others did and had lowe'red bp from 145/80 to 116/65 the only catch is i can't drink coffee with it as it will spike it back up to 145/80 again,7,positive,59,1,0
Effexor,Depression,i ve been taking this medicine for over 10 years i have gone as high 300 mg down to 100 mg my latest depression episode this is my third i'm taking the 300 mg and amplify but it s not helping i'm thinking of taking 375 mg and see if that helps me,2,negative,53,0,0
Victoza,Type 2 Diabetes,i have been on for weeks and am losing weight clothes are loser i average about 700 calories a day as that is all i can bear to eat the sight of food makes me nauseated and i take the med at night because of the drowsiness it produces it is doing what it promises food has taken a back seat in my life for a change i don't even think of my next meal anymore,10,positive,76,0,0
Citalopram,Depression,i was saved by this medicine my depression was strong enough and lasting about years by that ti'me the reason- i couldn't conceive although was eager to get a baby finally we both we're checked and diagnosed healthy so i was really devastated when i had to start using citalopram i felt the effect very fast within first days the quality of my life changed for best i finally felt si'mply normal nothing extra positive just normal as years ago when i coped with my life it was exactly what i needed and month later i got pregnant and stopped using it no effects from stopping because the reason caused depression disappeared,10,positive,112,1,0
Hydrochlorothiazide / Telmisartan,High Blood Pressure,i ve been on it for five years works great dropped the hydrochlorothiazide hct because my blood pressure was controlled without it then the first substitute i tried is amlodipine and i now have swollen feet and ankles so guess what until i can see my md i'm back on micardis,10,positive,51,2,0
Viibryd,Depression,basically i felt light open up to me after about days after a week on 10 mg things felt normal but good once i switched to 20 mg no change but still much better than in the past going to 40 mg tomorrow diarrhea was bad at the beginning but not enough to counter the feeling of calm and peacefulness and ability to reduce the sadness and rage and sleepiness of the depression bad insomnia at weeks on 20 mg then - days of wanting to sleep all day otherwise so much better in the good ti'mes,8,positive,97,1,1
Canagliflozin,Type 2 Diabetes,my brother was prescribed invokana almost three years and developed a cancerous tumor in his kidney it was a very complicated surgery because of where the tumor was located and because of that the entire kidney had to be removed he was taking 300 mg upon diagnosis the surgeons instructed my brother to stop the medication i'mmediately my brother never had any kidney problems in his whole life let this be a warning,1,negative,73,0,0
Deplin,Depression,my doctor gave me a grocery bag full of samples because she said it was expensive i never took them i am bipolar with also anxiety depression will get very low spontaneously but is much more controlled with my seroquel and fluoxetine and xanax if needed i had an appointment recently and she reminded me that i need to take the deplin as it augments my antidepressant i didn't realize this so i'made sure to take it now i don't remember the last ti'me i felt this good and functional she gave me another grocery bag of samples deplin absolutely is great for me,10,positive,104,2,0
Victoza,Type 2 Diabetes,started off - months ago with low dose then up to daily experienced mild side effects not everyday but pushed through sugars in the 200 s to 170 no weight loss recently sugars jumped up a bit so i increased victozia to about sugars cli'mbed and the serious side effects occurred the confusion and fevers i cannot have in my daily life stopping today will see doc in a few days and blood work due not expecting blood to have significan't positive changes injection hurts bruising all the ti'me take metformin and alogloptin too,5,neutral,94,0,0
Exenatide,Type 2 Diabetes,on average one out of every pen will not inject into my body they only give you one extra needle and i am constantly using it with the first injection which leaves me with no extra needles for the other three weeks i have gone three weeks without being able to administer the medicine because the plunger will not work either the needles get clogged or the plunger does not work i am very frustrated on this medicine,3,negative,78,0,0
Trintellix,Depression,my nurse practitioner was uninformed none of the new meds worked for me every two weeks she would try another med this meds was the worst i had headaches constantly with this med i have the i'mpression she was not educated about the meds and the side effects,1,negative,48,0,1
Paroxetine,Depression,paxil helped me get my life and emotions back on track after depression linked to a divorce i had been feeling more down than ever before and couldn't shake it despite every effort through talk counseling relaxation and exercise for the first - weeks initially at 10 mg and then at 20 mg i felt that paxil was having no effect on me but as it kicked in i felt happier more myself and more alive than in years sustained now for months it s been a very natural feeling as if a fog has lifted rather than any medicated fakeness only side effect has been gaining 15 pounds after losing 10 pounds from depression even while training for and running a half-marathon no difficulty cutting dosage to 15 mg and will soon cut to 10 mg,9,positive,137,0,0
Losartan,High Blood Pressure,breathing difficulties excessive bowel movements memory loss short term weight gain swelling ankles coughing difficulty sleeping i want to be on something else,4,neutral,23,0,0
Dulaglutide,Type 2 Diabetes,had severe diarrhea and vomiting can rsquo t eat lose 17 lbs in 12 days very weak with severe abdominal pain was not told that the side effects could be this bad not able to get around the house to sick to eat confusion and now bouts of crying can'take this medicine i haven rsquo t had an injection in over a week but still feel just as bad don rsquo t know why they put this on the market feel like my body is destroyed on the inside,1,negative,89,0,2
Atenolol,High Blood Pressure,i have been on atenolol for about / months i am only 23 so my blood pressure wasn't too too high but for my age it was a concern to my doctor so she had me start taking half of 25 mg every night it did help for my blood pressure it also helped me get to sleep at night since i have a slight insomnia problem but i do have a problem with depression also and it seemed to make that a little worse since i started taking it i also went from about 130 lbs to 146 lbs in those few months and with dieting and exercise i still have not been able to get that weight to go away and it has also made me no longer have a sex drive,7,positive,134,0,0
Citalopram,Depression,i have been taking the med for about months it worked fantastic for the depression the only down side was some urinary discomfort and a lower than normal sex drive which was isolated after stopping the med for days other than that the med was very effective much more so than most of the others i have tried,8,positive,58,2,0
Lisinopril,High Blood Pressure,tablet's only taken then i ended up in a e with awful side effects including palpitations much higher bp than before i took them headaches rash feeling really ill a e doctor recommended stopping i'mmediately - i had the day before days after last pill and i'm still shaky suffering tiredness aware of heart beats and high bp - not at all happy with bp meds - i previously was prescribed andipole or something si'milar only one of those and i suffered stomach cramps palpitations bloated belly plus cough etc - these meds can be very dangerous and i'm refusing to try anymore but am taking even more exercise eating healthy hoping to reduce bp the natural way although hospital doctor didn't really think i needed themanyway,1,negative,127,0,1
Liraglutide,Type 2 Diabetes,started taking victoza days ago i have had migraines and a little bit of nausea i am taking mg i have not lost any weight from this medicine yet my doctor wanted me to try victoza because even with low carb diet and 1500 mg of metformin and 100 mg of januvia my blood sugar was still high i tried lantus insulin for 10 days and gained lbs in the 10 days after starting it so i quit taking it i have lost 16 lbs in the last year and my blood sugars have gone up so i do not want to take insulin and gain the weight i worked so hard to lose back,8,positive,115,0,0
Lisinopril,High Blood Pressure,i have no coughing from this medicine it is low cost and easy to take my only concern was leg cramps with exercise every other day they will go away you must exercise and take care of yourself on any drug or just as a daily routine in your quality of life,10,positive,52,0,0
Xanax,Depression,i have been diagnosed with depression and panic disorder for 20 years now i learned over the years that if i could keep my anxiety/panic under good control i would be much less likely to go into depression uncontrolled anxiety greatly increases the chance i will experience depression xanax works extremely well at keeping my anxiety and hence depression under control these days i don't need to use it continuously because just knowing that xanax is there and works so well if i need it has a calming effect i didn't give xanax 10/10 though because it has one annoying side effect for me it kills my libido rather effectively if i take it for a few days apart from that very tolerable - way more so than any antidepressant i was on,8,positive,133,2,0
Duloxetine,Depression,i have been using cymbalta for almost a year now and i am finally who i always used to be i am able to handle daily situations without unnecessary anger or feelings of hopelessness my world appears in focus and i have normal reactions to situations i don't over react to si'mple things i wish i had not spent so many years without treatment for my depression they feel like the lost years of my life thank you cymbalta,10,positive,79,0,0
Dulaglutide,Type 2 Diabetes,my first injection was a nightmare i took the injection on friday night and by saturday morning i had uncontrollable dry heaves it lasted for hours only after i ate some dry toast did it stop i was pretty much wiped for the rest of the weekend but saturday was by far the worst of it i naturally was terrified of taking the injection the next week but was pleasantly surprised that i did not get sick i get light headed occasionally but outside of that no real bad side affects i can no longer eat fried food it just does not agree with me and i was that person that ate everything fried since starting the injections i ve lost lbs weeks,9,positive,123,0,3
Viibryd,Depression,i ve completed a starter pack and am wks into my second month 40 mg/day at week three of my starter pack up through yesterday i felt better than i had in over a year not unlike most users i have also experienced gi issues that i hope will subside evenutally and i experience missing a dose for two days which made me panic a bit yesterday however i began to notice new side effects - lingering ache at the base of my skull and my back aches and is stiff and i ve lost all the energy and sharpness that i previously experienced based on many of the other user posts i think i'may need to go down on my dose however if i am able to return to the initial results for viibryd it s definitely a win and would change my rating to 10,8,positive,147,0,0
