drugName,condition,review,rating,rating_category,review_length,positive_word_count,negative_word_count
L-Methylfolate,Depression,i have taken anti-depressants for years with some i'mprovement but mostly moderate to severe side affects which makes me go off them i only take cymbalta now mostly for pain when i began deplin i noticed a major i'mprovement overnight more energy better disposition and no sinking to the low lows of major depression i have been taking it for about months now and feel like a normal person for the first ti'me ever best thing no side effects,10,positive,79,1,0
Sertraline,Depression,week on zoloft for anxiety and mood swings i take 50 mg in the mornings with my breakfast nausea on day one but that'subsided as the week went on i get the jitters about hrs after taking it followed by yawning i feel much better though and less angry/stressed,8,positive,49,0,0
Venlafaxine,Depression,my gp started me on venlafaxine yesterday to help with depression and the change a hour after taking them i was feeling very sick couldn t stomach food or fluids thought keep it up as she told me they did come with some side effects which would get better took another one last night and was so ill i couldn t stand being sick sweating shaking thought i was going to pass out did get some sleep hopeing to feel better this morning took another one and felt so spaced out dry mouth shaking sick so booked in to see gp again to make sure i should be feeling like this only to find out she had put me on the wrong dose should have been on 37 mg was put on 150 mg now on right dose hope this will be better,4,neutral,143,0,1
Dulaglutide,Type 2 Diabetes,hey guys it s been months since my last post as i wanted to give it a few months to see how this was going to work so i have been on trulicity for six months now with metformin when i hit the five month period the diarrhea gas sulphur belching finally subsided i now longer have any of those side effects however i still haven't lost any weight at all but i think that was because when i first started trulicity i was taking it with gli'mepiride and that one has a side effect of weight gain so i think the two meds we're fighting each other lol i have been back on the metformin with trulicity for about a week now so we will see what this does i was diagnosed as stage chronic kidney disease ckd so i am watching diet closely,10,positive,145,0,0
Effexor XR,Depression,this medicine saved my life i was at my wits end with anti-depressants and was ready to give up my doctor finally prescribed me this after many failed medications i am so glad she did i honestly do not know where i would be without effexor xr side effects we're very mild compared to other anti-depressants i tried i was drowsy for the first couple days but it was tolerable i highly recommend this for severe depression i would also like to mention for people to realize there is light at the end of the tunnel and you will get better and to never give up,10,positive,106,0,0
Wellbutrin,Depression,started taking it and i slept well at night and awoke early around to start my day happily but come am and i am drowsy and needed to take already two hrs nap awake and resume my day with not much difficulties than st pm again i needed a nap so how was i gonna make it to work and my appointments too i went cold turkey felt much better after that only to crash again i did try other anti depressants including pristique but i suffered with insomnia with these meds i know i need to start again but so confused if i should resume welbutrin,4,neutral,107,0,0
Aripiprazole,Depression,intake effexor xr 375 mg and lorazepam for depression and anxiety my doctor added abilify and i took it in mornings it made me foggy i'moved it to bertie and sleep better overall i have noticed an increase in irritability which equates to feeling extremely angry by pm daily i ve rearranged my lorazepam to reduce that but need more ti'me i'm also having restlessness which almost feels manic we shall see increased cravings for sweets,4,neutral,76,0,0
Amlodipine / Olmesartan,High Blood Pressure,my blood pressure has been around 160/100 doctor prescribed azor 40/10 just hrs later my reading showed 120/82 i was amazed i am now on it daily thanks to azor,10,positive,30,0,0
Desvenlafaxine,Depression,this medication is amazing after days of being extremely sick i started to feel amazing i am now month into it and am so happy all the ti'me and have no depressive thoughts at all it kind of blocks out any sad thoughts works perfectly for me,10,positive,47,2,1
Dulaglutide,Type 2 Diabetes,i was recently referred to a endocrinologist and he started me on trulicity and jardiance i ve tried to take byetta in the past but had to stop because it made me very sick i lost weight but that was because i was throwing up all day effective weight loss method but i do not recommend it i ve taken one dose of trulicity and while i do have mild nausea it is not bad and i have switched from coffee to green tea in the morning really helps that i would recommend sugar levels have not dropped significan'tly but they are dropping guess one week won't work wonders and i have to wait a bit i don't know if it is the trulicity or the jardiance or the combo of both but i have managed to lose pounds in days,9,positive,141,1,2
Fluoxetine,Depression,my genius psychiatrist started me on this drug in the fall of 2008 the first few weeks i felt even worse than before i had started taking the fluoxetine after many months on the drug i was eventually taking 400 mg a day and having manic thoughts episodes my psychiatrist decided i was bi-polar and then started me on seroquel rather than give me a break for my nervous system to re-adjust to it s natural state which i also ended up taking for about months and at about the same dose in retrospect i wish i hadn't taken either fluoxetine prozac or seroquel quetiapine,1,negative,105,0,0
Bupropion,Depression,i was really glad that i experienced none of the possible side effects after four weeks i did notice my mood getting better but after that'some things happened in my life my dog had surgery a break-up a hair experi'ment gone wrong that i was not able to deal with and i got worse i felt myself spiraling downward and my anxiety shot way up it s month number two and i just switched to lexapro hope it helps,4,neutral,79,0,0
Trintellix,Depression,this drug causes persistent nausea in some users as per their website for most people it goes away after a few weeks--but not all initially i was also itchy and a little weepy went away after weeks if you have a history of being unusually nausea prone ie pregnancy in my experience you may wind up in the persistent nausea group i will have to switch as i don't want to be chained to zofran otherwise worked fine as an alternative to paxil fewer side effects--unfortunately the one side effect it did cause is pretty debilitating in my case,5,neutral,99,0,0
Liraglutide,Type 2 Diabetes,have only been on victorza for a few days i had bad nausea and migranes then it changed to no energy at all i sleep till noon one day and i have young kids and a full ti'me job searching for a better answer,5,neutral,44,0,1
